T,8_fp,91,L
T,8_fp,-35,L
T,8_fp,3_du,L
T,169,dat. du.,L
T,169,8_fp,L
T,54,dat. du.,L
T,54,-151,L
T,54,-90,L
T,54,8_fp,L
T,54,54,L
T,54,pl,L
T,54,153,L
T,54,135,L
T,54,-24,L
T,54,137,L
T,54,-112,L
T,54,101,L
T,54,91,L
T,54,-35,L
T,54,3_du,L
T,114,54,L
T,114,101,L
T,-139,137,L
T,-139,101,L
T,139,dat. du.,L
T,139,8_fp,L
T,139,54,L
T,139,pl,L
T,139,153,L
T,139,28,L
T,139,137,L
T,139,-112,L
T,139,101,L
T,139,-35,L
T,139,3_du,L
T,pl,-90,L
T,pl,8_fp,L
T,pl,54,L
T,pl,-24,L
T,pl,-112,L
T,pl,101,L
T,153,dat. du.,L
T,153,8_fp,L
T,153,54,L
T,153,pl,L
T,153,153,L
T,153,28,L
T,153,-24,L
T,153,137,L
T,153,-112,L
T,153,101,L
T,153,91,L
T,153,-35,L
T,153,3_du,L
T,135,54,L
T,135,pl,L
T,135,137,L
T,135,3_du,L
T,7_fp,101,L
T,neutr,137,L
T,neutr,101,L
T,-153,dat. du.,L
T,-153,8_fp,L
T,-153,54,L
T,-153,pl,L
T,-153,28,L
T,-153,137,L
T,-153,101,L
T,-153,-35,L
T,-153,3_du,L
T,-24,8_fp,L
T,-24,54,L
T,-24,pl,L
T,-24,137,L
T,-24,-112,L
T,-24,101,L
T,137,dat. du.,L
T,137,-151,L
T,137,54,L
T,137,153,L
T,137,28,L
T,137,-24,L
T,137,137,L
T,137,-112,L
T,137,101,L
T,137,3_du,L
T,-112,153,L
T,-112,-112,L
T,101,dat. du.,L
T,101,-151,L
T,101,-90,L
T,101,-57,L
T,101,8_fp,L
T,101,169,L
T,101,54,L
T,101,114,L
T,101,pl,L
T,101,153,L
T,101,28,L
T,101,-24,L
T,101,137,L
T,101,-112,L
T,101,101,L
T,101,91,L
T,101,-35,L
T,101,3_du,L
T,91,dat. du.,L
T,91,54,L
T,91,153,L
T,91,-24,L
T,91,137,L
T,91,-112,L
T,91,101,L
T,91,91,L
T,91,-35,L
T,91,3_du,L
T,3_du,137,L
T,153,91,T
T,28,91,T
T,-296,8_fp,T
